Frame,Blockiness,SA,Letterbox,Pillarbox,Blockloss,Blur,TA,Blackout,Freezing,Exposure(bri),Contrast,Interlace,Noise,Slice,Flickering,UGC,Colourfulness
126,0.94239,17.42395,0.0,0.0,2.3,8.506233,9.92883,0,0,118.327515,48.55627,0.0,0.0,1.023,-1.0,0.0,191.51557945852383
127,0.92949,17.44788,0.0,0.0,3.3,8.506233,10.47517,0,0,118.327515,48.55627,0.0,0.0,1.031,-1.0,0.0,191.5844494597323
128,0.9484,17.35468,0.0,0.0,2.9,8.506233,10.51115,0,0,118.327515,48.55627,0.0,0.0,1.08,0.54774,0.0,191.64791925120585
129,0.93126,17.4631,0.0,0.0,2.0,8.506233,10.50172,0,0,118.327515,48.55627,0.0,0.0,1.131,-1.0,0.0,191.62174792317194
130,0.93441,17.46698,0.0,0.0,3.2,8.506233,9.98721,0,0,118.327515,48.55627,0.0,0.0,1.162,-1.0,0.0,191.39358810099552
131,0.93488,17.51713,0.0,0.0,3.4,8.506233,10.57214,0,0,118.327515,48.55627,0.0,0.0,1.205,-1.0,0.0,191.534171371201
132,0.94205,17.52881,0.0,0.0,2.8,8.506233,10.55166,0,0,118.327515,47.72828,0.0,0.0,1.224,-1.0,0.0,191.30881675145636
133,0.93084,17.55479,0.0,0.0,2.8,8.506233,10.45991,0,0,118.327515,47.72828,0.0,0.0,1.312,-1.0,0.0,191.40664116208865
134,0.93048,17.54769,0.0,0.0,4.7,8.506233,9.84427,0,0,118.327515,47.72828,0.0,0.0,1.357,-1.0,0.0,191.3720805939882
135,0.93051,17.52068,0.0,0.0,3.8,8.506233,10.34536,0,0,118.327515,47.72828,0.0,0.0,1.494,-1.0,0.0,191.33965934228306
136,0.94032,17.50739,0.0,0.0,2.4,8.506233,10.29626,0,0,118.327515,47.72828,0.0,0.0,1.531,0.53009,0.0,191.65666864892572
137,0.93433,17.41461,0.0,0.0,3.6,8.506233,9.71565,0,0,118.327515,47.72828,0.0,0.0,1.437,-1.0,0.0,191.68383108673555
138,0.93396,17.38338,0.0,0.0,1.5,8.506233,10.2417,0,0,118.327515,48.55627,2e-05,0.0,1.303,-1.0,0.0,191.8426493887501
139,0.93655,17.34022,0.0,0.0,2.4,8.506233,10.21035,0,0,118.327515,48.55627,0.0,0.0,1.215,-1.0,0.0,192.0628927927204
140,0.93505,17.27385,0.0,0.0,2.4,8.506233,10.18821,0,0,118.327515,48.55627,0.0,0.0,1.183,-1.0,0.0,192.15743878036415
141,0.93022,17.27236,0.0,0.0,2.6,8.506233,9.65188,0,0,118.327515,48.55627,0.0,0.0,1.141,-1.0,0.0,192.1775840024117
142,0.94372,17.25356,0.0,0.0,1.6,8.506233,10.14411,0,0,118.327515,48.55627,2e-05,0.0,1.146,-1.0,0.0,192.17649122277
143,0.94658,17.22879,0.0,0.0,2.4,8.506233,10.13382,0,0,118.327515,48.55627,0.0,0.0,1.116,-1.0,0.0,192.12144784917965
144,0.95487,17.25052,0.0,0.0,0.8,8.506233,10.16846,0,0,118.327515,48.55627,0.0,0.0,1.096,0.50579,0.0,192.14455053648277
145,0.96141,17.20826,0.0,0.0,1.0,8.506233,9.59825,0,0,118.327515,48.55627,0.0,0.0,1.124,-1.0,0.0,192.11985573703316
146,0.94504,17.21147,0.0,0.0,1.0,8.506233,10.1394,0,0,118.327515,48.55627,0.0,0.0,1.12,-1.0,0.0,192.26011037581492
147,0.95692,17.22933,0.0,0.0,0.5,8.506233,10.14223,0,0,118.327515,48.55627,0.0,0.0,1.123,-1.0,0.0,192.21501396586882
148,0.95492,17.24455,0.0,0.0,0.3,8.506233,10.21304,0,0,118.327515,48.55627,0.0,0.0,1.125,-1.0,0.0,192.10664036291868
149,0.9517,17.28227,0.0,0.0,0.1,8.506233,9.70862,0,0,118.327515,48.55627,0.0,0.0,1.091,-1.0,0.0,192.08198279106284
