Frame,Blockiness,SA,Letterbox,Pillarbox,Blockloss,Blur,TA,Blackout,Freezing,Exposure(bri),Contrast,Interlace,Noise,Slice,Flickering,UGC,Colourfulness
57,0.3171,47.15078,0.0,0.0,1.0,1.486,12.48244,0,0,121,55.89949,0.00122,0.0,1.065,-1.0,1.0,200.9604314911561
58,0.31664,46.76671,0.0,0.0,0.6,1.513,12.51501,0,0,121,55.89837,0.00071,0.0,1.065,-1.0,1.0,200.9072540551016
59,0.30811,46.71915,0.0,0.0,0.7,1.5,12.0345,0,0,121,55.89773,0.00099,0.0,1.059,-1.0,1.0,200.87860974249622
60,0.31823,46.79729,0.0,0.0,0.8,1.481,12.40722,0,0,121,55.91055,0.00104,0.0,1.044,-1.0,1.0,200.91329237989942
61,0.30805,46.86043,0.0,0.0,0.8,1.479,12.83481,0,0,121,55.89122,0.00102,0.0,1.043,-1.0,1.0,200.94702526399251
62,0.29838,46.84781,0.0,0.0,0.0,1.483,12.40575,0,0,121,55.89441,0.00109,0.0,1.061,-1.0,1.0,200.95020783040192
63,0.31208,47.22583,0.0,0.0,1.2,1.489,12.97381,0,0,121,55.8877,0.00134,0.0,1.089,-1.0,1.0,201.00965338514564
64,0.29924,46.83179,0.0,0.0,1.2,1.475,12.98462,0,0,121,55.86632,0.00101,0.0,1.099,0.35909,1.0,201.05883838412873
65,0.29656,47.17006,0.0,0.0,0.0,1.474,12.98652,0,0,121,55.87224,0.00115,0.0,1.104,-1.0,1.0,201.13771811660837
66,0.3021,47.30077,0.0,0.0,0.0,1.484,12.62176,0,0,121,55.85669,0.00132,0.0,1.117,-1.0,1.0,201.1505798460504
67,0.29807,47.3682,0.0,0.0,3.6,1.475,13.21931,0,0,121,55.8715,0.00128,0.0,1.144,-1.0,1.0,201.2412013117545
68,0.2884,47.30691,0.0,0.0,0.0,1.49,13.17546,0,0,121,55.85777,0.00106,0.0,1.135,-1.0,1.0,201.26653807715806
69,0.29962,47.35949,0.0,0.0,0.7,1.483,13.21844,0,0,121,55.85554,0.00069,0.0,1.17,-1.0,1.0,201.35700870727135
70,0.29137,47.48774,0.0,0.0,0.0,1.495,12.89116,0,0,121,55.84344,0.0008,0.0,1.247,-1.0,1.0,201.3790046169845
71,0.29064,47.49882,0.0,0.0,0.0,1.489,13.32406,0,0,121,55.83111,0.00111,0.0,1.32,-1.0,1.0,201.45912140607976
72,0.28608,47.79591,0.0,0.0,0.9,1.506,13.44841,0,0,121,55.80228,0.00087,0.0,1.365,0.37818,1.0,201.44968491323823
73,0.28004,47.93182,0.0,0.0,0.8,1.515,13.46062,0,0,121,55.78467,0.00078,0.0,1.397,-1.0,1.0,201.46989137415264
74,0.27314,47.85476,0.0,0.0,1.0,1.501,13.0088,0,0,121,55.76797,0.0013,0.0,1.393,-1.0,1.0,201.51756046043764
75,0.28169,48.1408,0.0,0.0,0.0,1.48,13.59467,0,0,121,55.75613,0.00149,0.0,1.39,-1.0,1.0,201.52805589699355
76,0.27772,47.89882,0.0,0.0,0.0,1.494,13.58888,0,0,121,55.77415,0.00118,0.0,1.317,-1.0,1.0,201.47847538454013
77,0.27824,47.88021,0.0,0.0,1.6,1.496,13.10873,0,0,121,55.78727,0.00125,0.0,1.266,-1.0,1.0,201.4586219012861
78,0.28592,48.00209,0.0,0.0,0.0,1.496,13.70297,0,0,121,55.81049,0.00149,0.0,1.234,-1.0,1.0,201.42825068839414
79,0.2878,47.54716,0.0,0.0,0.0,1.518,13.63993,0,0,121,55.8208,0.00123,0.0,1.191,-1.0,1.0,201.39390925425218
80,0.29133,47.82807,0.0,0.0,0.0,1.508,13.68463,0,0,121,55.8463,0.00087,0.0,1.154,0.39468,1.0,201.36839125080002
81,0.28675,47.53529,0.0,0.0,1.3,1.501,13.29941,0,0,121,55.85753,0.00127,0.0,1.116,-1.0,1.0,201.34667316435358
82,0.28483,47.75518,0.0,0.0,0.0,1.488,13.71295,0,0,121,55.8734,0.00134,0.0,1.088,-1.0,1.0,201.30943605076425
83,0.28397,47.51951,0.0,0.0,0.0,1.51,13.75294,0,0,121,55.87603,0.00094,0.0,1.094,-1.0,1.0,201.27209052120688
84,0.29751,47.91377,0.0,0.0,1.1,1.482,13.83043,0,0,121,55.8779,0.00071,0.0,1.064,-1.0,1.0,201.15950292510112
